list_name,name,label
subcounty_list,laikipia_north,Laikipia North
subcounty_list,laikipia_west,Laikipia West
subcounty_list,laikipia_nyahururu,Laikipia Nyahururu
subcounty_list,lamu_east,Lamu East
subcounty_list,lamu_west,Lamu West
subcounty_list,machakos_kathiani,Machakos Kathiani
subcounty_list,machakos_town,Machakos Town
subcounty_list,machakos_masinga,Machakos Masinga
subcounty_list,machakos_matungulu,Machakos Matungulu
subcounty_list,machakos_mavoko,Machakos Mavoko
subcounty_list,machakos_mwala,Machakos Mwala
subcounty_list,machakos_yatta,Machakos Yatta
subcounty_list,makueni_kaiti,Makueni Kaiti
subcounty_list,makueni_west,Makueni West
subcounty_list,makueni_east,Makueni East
subcounty_list,makueni_kilome,Makueni Kilome
subcounty_list,makueni_makueni,Makueni Makueni
subcounty_list,makueni_mbooni,Makueni Mbooni
subcounty_list,mandera_banissa,Mandera Banissa
subcounty_list,mandera_lafey,Mandera Lafey
subcounty_list,mandera_east,Mandera East
subcounty_list,mandera_north,Mandera North
subcounty_list,mandera_south,Mandera South
subcounty_list,mandera_west,Mandera West
subcounty_list,marsabit_laisamis,Marsabit Laisamis
subcounty_list,marsabit_moyale,Marsabit Moyale
subcounty_list,marsabit_hor,Marsabit Hor
subcounty_list,marsabit_saku,Marsabit Saku
subcounty_list,meru_buuri,Meru Buuri
subcounty_list,meru_central,Meru Central
subcounty_list,meru_north,Meru North
subcounty_list,meru_south,Meru South
subcounty_list,meru_central,Meru Central
subcounty_list,meru_north,Meru North
subcounty_list,meru_south,Meru South
subcounty_list,meru_east,Meru East
subcounty_list,meru_west,Meru West
subcounty_list,migori_awendo,Migori Awendo
subcounty_list,migori_east,Migori East
subcounty_list,migori_west,Migori West
subcounty_list,migori_mabera,Migori Mabera
subcounty_list,migori_ntimaru,Migori Ntimaru
subcounty_list,migori_rongo,Migori Rongo
subcounty_list,migori_east,Migori East
subcounty_list,migori_west,Migori West
subcounty_list,migori_uriri,Migori Uriri
subcounty_list,mombasa_changamwe,Mombasa Changamwe
subcounty_list,mombasa_jomvu,Mombasa Jomvu
subcounty_list,mombasa_kisauni,Mombasa Kisauni
subcounty_list,mombasa_likoni,Mombasa Likoni
subcounty_list,mombasa_mvita,Mombasa Mvita
subcounty_list,mombasa_nyali,Mombasa Nyali
subcounty_list,muranga_gatanga,Muranga Gatanga
subcounty_list,muranga_kahuro,Muranga Kahuro
subcounty_list,muranga_kandara,Muranga Kandara
subcounty_list,muranga_kangema,Muranga Kangema
subcounty_list,muranga_kigumo,Muranga Kigumo
subcounty_list,muranga_kiharu,Muranga Kiharu
subcounty_list,muranga_mathioya,Muranga Mathioya
subcounty_list,muranga_south,Muranga South
