asset_name,asset_category,description,model,serial_number,date_of_acquisition,age_at_time_of_acquisition,purchase_value,depreciation_percentage,lpo_number,dig_funder_name,project_name,acquisition_name,current_condition,date_of_disposal,comments
TELEPHONE HEAD SET,Computer and ICT Accessories,YEALINK TELEPHONE HEAD SET,T42G,8019115091004610,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
TELEPHONE HEAD SET,Computer and ICT Accessories,YEALINK TELEPHONE HEAD SET,T42G,8109115091005120,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
TELEPHONE HEAD SET,Computer and ICT Accessories,YEALINK TELEPHONE HEAD SET,430 G7,8109315101107750,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
CONFERENCE PHONE,Computer and ICT Accessories,YEALINK HD IP CONFERENCE PHONE,N/A,8800219122400780,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
Air Conditioner,Office Equipment,Westpoint Air Conditioner,430 G4,2404041240177060,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Faulty,,Pathfinder International
Monitor,Display Monitor,Hp Monitor ,E190i,1CR8190K61,9/29/2021,4.59,,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
TV,Television,"Samsung LED TV 40""",N/A,046X3K2K400060X,7/1/2021,4.83,,20,N/A,Pathfinder International,Stawisha,Donation,Good,,Pathfinder International
FAN,Office Equipment,Von fan,NA,108VSNJ8621K-1,7/1/2021,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Faulty,,Pathfinder International
FAN,Office Equipment,Von fan,N/A,108VSNJ8621K-2,7/1/2021,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Faulty,,Pathfinder International
FAN,Office Equipment,Von fan,N/A,108VSNJ8621K-3,7/1/2021,4.83, -   ,20,N/A,Pathfinder International,Stawisha,Donation,Faulty,,Pathfinder International
Monitor,Display Monitor,HP MONITOR HPV24iFHD,E190I,1CR0330Q4S,9/29/2021,4.59, -   ,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP MONITOR - X24ih,800G2 SFF,1CR0452060,9/29/2021,4.59, -   ,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP MONITOR HP24VG4FHD,Galaxy A7,1CR046DYZR,9/29/2021,4.59, -   ,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP MONITOR - HPP24V,HPN246V,1CR046OYZX,9/29/2021,4.59, -   ,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP Monitor P24vG4,800G2 SFF,1CR1080ZRL,9/29/2021,4.59,,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP MONITOR HPN246V,E190I,1CR8140CX7,9/29/2021,4.59, -   ,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
Monitor,Display Monitor,HP Monitor,800G2 SFF,1CR8190JYV,9/29/2021,4.59,,20,9346,LVCT Health,Stawisha,Purchase,Good,,Toshiba Max Ltd
