,,,,,,,,"Baseline Assessment Tool for HIV Prevention, PMTCT, HIV/TB & MNCH Service Transition _ DoS TWGs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,"Integration of HIV Prevention, HIV/TB,  PMTCT  & MNCH Services and EMR Use",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cross Cutting Areas,,,
Section 1: Facility Profile,,,,,,,,Section 2a: Integration of HIV/TB Services,,,,,"Section 2b: Integration of Other Services - PMTCT in MCNH & HIV Prevention in OPD, IPD & MCNH",,,,,,,Section 2c: EMR Integration,,,,,,,,,,,,,,,,,,,,Section 3: HRH Transition (Workforce Absorption),,,,,,,,,,,,Section 4: PLHIV &  PBFW Enrollment into SHA,,,,,,Section 5: County Led Technical Assistance / Mentorship,,,Section 6: Financing and Sustainability,,,Section 7: Mortality outcomes (Sustainability of quality of care),,,,,,Section 10a: Simplification of Donor Reporting,,,
Kaembeni Dispensary,25168,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,52,6,52,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,Yes,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,1, -   ,Yes,Yes,2,1,Yes,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
Mtwapa Dispensary,24137,Stawisha Pwani,Kilifi,Kilifi South,Level II,Yes,Yes,Yes,OPD,29, -   ,29,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,Yes,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,7, -   ,Yes,No,1,1,Yes,Yes,No,No, -   , -   , -   , -   , -   , -   ,,,,
Chumani Dispensary,24115,Stawisha Pwani,Kilifi,Kilifi North,Level II,Yes,Yes,Yes,OPD,28, -   ,28,Not Applicable,Yes,Not Applicable,Yes,Yes,Not Applicable,Yes,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   ,,,,Yes,Yes,2, -   ,,No,No,No, -   , -   , -   , -   , -   , -   ,,,,
Zowerani Dispensary,23958,Stawisha Pwani,Kilifi,Kilifi North,Level III,Yes,Yes,Yes,OPD,44,3,44,Yes,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   ,,,,, -   , -   ,4, -   ,Yes,Yes,1,1,Yes,Yes,No,No, -   , -   , -   , -   , -   , -   ,,,,
Uwanja wa Ndege Dispensary,23925,Stawisha Pwani,Kilifi,Rabai,Level III,Yes,Yes,Yes,OPD,27, -   ,27,Not Applicable,No,Not Applicable,Yes,Yes,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,,,No,No,1,,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
St Mary's Health Care,22554,Stawisha Pwani,Kilifi,Kilifi South,Level II,Yes,Yes,Yes,OPD,136,3,136,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Yes,No,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes,1,,,,1,, -   , -   ,,,,, -   , -   , -   , -   ,Yes,No, -   , -   ,No,Yes,No,Yes, -   , -   , -   , -   , -   , -   ,,,,
Kachororoni Dispensary,21545,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,44,6,44,Yes,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,9, -   ,Yes,Yes,2,2,Yes,No,Not Applicable,Yes,1,1, -   , -   , -   , -   ,,,,
Jila Model Health Centre,21544,Stawisha Pwani,Kilifi,Ganze,Level II,Yes,Yes,Yes,OPD,21,2,21,Yes,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   ,,,,,, -   , -   ,,,,, -   ,,2,,Yes,No,2,1,Yes,Yes,Yes,Yes, -   , -   , -   , -   , -   , -   ,,,,
Konjora Dispensary,21539,Stawisha Pwani,Kilifi,Kilifi North,Level II,Yes,Yes,Yes,OPD,119,3,119,Yes,Yes,Not Applicable,Yes,Yes,Not Applicable,No,Yes,No,EMR Not Available,,EMR Not Available,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,Taifa Care Powered by Kenya EMR,,No,Yes,Taifa Care Powered by Kenya EMR,,Not Applicable,Yes,1, -   , -   , -   ,1, -   , -   , -   ,,,,, -   ,, -   ,,Yes,Yes,1,,,Yes,Yes,Yes,1, -   , -   , -   , -   ,1,,,,
Mjanaheri Dispensary,21213,Stawisha Pwani,Kilifi,Magarini,Level II,Yes,Yes,No,,42, -   ,,Not Applicable,Yes,Not Applicable,Yes,No,Not Applicable,No,No,No,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,EMR Not Available,,No,No,EMR Not Available,,Not Applicable,No, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,,3,,Yes,No,1, -   ,,No,Not Applicable,No, -   , -   , -   , -   , -   , -   ,,,,
